"FileName","Category","FileType","SizeBytes","Lines","LastModified","Description","FunctionCount","WriteHostCount","HasErrorHandling","HasAPICall","HasCSVRead","HasCSVWrite","HasJSONRead","HasJSONWrite","Purpose"
"fix_invalid_values.ps1","Fix",".ps1","5338","80","2025-11-13 21:06:59","Fix invalid values in vietnam_population.csv","0","30","True","False","True","True","False","False","Fix invalid or out-of-range values"
"fix_primary_completion.ps1","Fix",".ps1","1793","30","2025-11-13 20:12:24","Fix Primary Completion Rate - replace 0 with N/A where appropriate","0","10","False","False","True","True","False","False","Fix primary education completion rate data"
"fix_source_file.ps1","Fix",".ps1","6452","116","2025-11-13 21:16:22","Fix invalid data in vietnam_advance.csv","0","36","True","False","True","True","False","False","Fix issues in source data files"
"fix_urban_population.ps1","Fix",".ps1","4564","105","2025-11-13 21:39:44","Fix Urban Population specifically","0","13","True","False","True","True","False","False","Fix urban population percentage calculations"
"fix_urban_population_v2.ps1","Fix",".ps1","4673","112","2025-11-13 21:46:53","Fix Urban Population - Version 2: Calculate Urban% first, then recalculate Urban/Rural","0","10","True","False","True","True","False","False","Fix urban population percentage calculations"
"fix_urban_rural.ps1","Fix",".ps1","3587","87","2025-11-13 21:53:20","Fix Urban + Rural = Total Population","0","10","True","False","True","True","False","False","Fix urban/rural population split"
"update_accurate_undp_data.ps1","Update",".ps1","4626","94","2025-11-13 18:47:59","Update CSV with accurate UNDP/HDR data from World Bank","1","23","True","False","True","True","True","False","Update UNDP data with accurate values"
"update_economic_indicators.ps1","Update",".ps1","5167","126","2025-11-12 00:42:14","Integrate Economic Indicators from World Bank API","0","9","False","False","True","True","True","False","Update economic indicators"
"update_health_env_indicators.ps1","Update",".ps1","3314","67","2025-11-12 00:48:46","Integrate Health and Environmental Indicators from World Bank API","0","4","False","False","True","True","True","False","Update health and environment indicators"
"update_ilo_employment.ps1","Update",".ps1","2955","70","2025-11-12 00:34:11","Integrate ILO Employment Sector Data from World Bank API","0","4","False","False","True","True","True","False","Update ILO employment data"
"update_primary_completion.ps1","Update",".ps1","2253","49","2025-11-13 19:55:31","Update Primary Completion Rate in CSV","0","12","False","False","True","True","False","False","Update primary education indicators"
"update_rankings.ps1","Update",".ps1","2560","55","2025-11-13 19:21:45","Update CSV with rankings and regional data","0","12","False","False","True","True","True","False","Update Vietnam global/regional rankings"
"update_regional_density.ps1","Update",".ps1","7253","136","2025-11-13 19:48:22","Process GSO regional density data","0","16","False","False","True","True","False","False","Update regional density calculations"
"update_undp_csv.ps1","Update",".ps1","1774","53","2025-11-11 23:05:54","Update CSV with UNDP data","0","1","False","False","True","True","False","False","Update UNDP CSV file"
"update_unesco_primary.ps1","Update",".ps1","1645","37","2025-11-12 00:34:11","Integrate UNESCO Primary Completion Rate from World Bank API","0","5","False","False","True","True","True","False","Update UNESCO education data"
"update_who_health.ps1","Update",".ps1","2761","54","2025-11-11 23:30:57","Extract WHO health data from World Bank API for Vietnam","0","4","False","False","True","True","True","False","Update WHO health data"
"final_accurate_report.ps1","Report",".ps1","7739","190","2025-11-13 19:25:24","Final accurate verification with exact column names","0","28","False","False","True","False","False","False","Generate accurate final report"
"final_complete_report.ps1","Report",".ps1","11068","122","2025-11-13 19:48:22","Final Comprehensive Report - All Columns Verified","0","73","False","False","True","False","False","False","Generate complete final report"
"final_comprehensive_report.ps1","Report",".ps1","8714","140","2025-11-13 19:06:39","Final Comprehensive Verification Report","0","80","False","False","True","False","False","False","Generate comprehensive final report"
"final_detailed_report.ps1","Report",".ps1","11400","146","2025-11-13 19:57:18","Final Report - Complete Analysis","0","78","False","False","True","False","False","False","Generate detailed final report"
"final_population_summary.ps1","Report",".ps1","10339","133","2025-11-13 20:31:04","Final Summary Report for vietnam_population.csv","0","63","False","False","True","False","False","False","Generate final population summary"
"final_summary.ps1","Report",".ps1","8314","71","2025-11-13 21:22:55","Final Summary Report","0","68","False","False","True","False","False","False","Generate final data summary"
"final_summary_report.ps1","Report",".ps1","10980","152","2025-11-13 20:12:24","Final Summary Report","0","64","False","False","True","False","False","False","Generate final summary report"
"final_update_remaining.ps1","Report",".ps1","5177","111","2025-11-13 19:22:40","Final update with correct column names","0","17","True","False","True","True","True","False","Final update of remaining data gaps"
"final_verification.ps1","Report",".ps1","4297","121","2025-11-13 19:04:21","Final Verification of All Unverified Columns in Vietnam Data","0","24","False","False","True","False","False","False","Final verification of all data before export"
"updated_comprehensive_report.ps1","Report",".ps1","9675","193","2025-11-13 19:24:01","Updated comprehensive verification report","0","59","False","False","True","False","False","False","Generate updated comprehensive report"
"verification_summary_report.ps1","Report",".ps1","7903","187","2025-11-13 18:53:12","Comprehensive Verification Summary Report Vietnam Data Verification from International Sources Date: $(Get-Date -Format ""yyyy-MM-dd"")","0","74","False","False","True","False","False","False","Generate verification summary report"
"DATA_QUALITY_FINAL_REPORT.md","Markdown Report",".md","3438","65","2025-11-13 21:53:20","Markdown report: 553 words, 17 sections",,,,,,,,,"Comprehensive data quality assessment report"
"VERIFICATION_REPORT.md","Markdown Report",".md","10385","204","2025-11-13 18:57:27","Markdown report: 1591 words, 33 sections",,,,,,,,,"Data verification and validation report"
"employment_issues.csv","Issue Report",".csv","1136","24","2025-11-13 21:36:57","CSV report: 23 rows × 6 columns",,,,,,,,,"Issues found in employment data"
"population_sum_issues.csv","Issue Report",".csv","1584","24","2025-11-13 21:36:57","CSV report: 23 rows × 7 columns",,,,,,,,,"Population sum validation issues"
"value_range_issues.csv","Issue Report",".csv","187","3","2025-11-13 21:05:24","CSV report: 2 rows × 5 columns",,,,,,,,,"Out-of-range value issues"
"column_verification_report.csv","Validation Report",".csv","5237","88","2025-11-13 20:10:33","CSV report: 87 rows × 7 columns",,,,,,,,,"Data verification and validation report"
"value_range_validation_report.csv","Validation Report",".csv","2232","34","2025-11-13 21:34:10","CSV report: 33 rows × 5 columns",,,,,,,,,"Value range validation results"
